Iteration,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,0.9000,0.9100,0.9200,0.9300,0.9400,0.9500,0.9600,0.9700,0.9800,0.9900
1,296,104,82,36,22,131,347,325,368,362,331,331,322,355,336,300,312,322
2,184,111,66,50,32,202,291,329,360,347,371,357,334,326,337,322,326,337
3,244,118,48,60,29,115,348,344,367,352,331,337,365,345,359,345,326,300
4,188,109,75,52,35,172,327,387,338,326,359,337,324,347,366,334,314,300
5,210,122,74,44,32,325,159,372,376,341,366,358,357,346,312,337,325,325
6,206,130,60,45,30,225,316,363,397,359,323,345,338,312,313,300,325,313
7,214,78,86,67,36,196,248,374,313,337,332,312,352,325,355,345,336,337
8,163,151,77,37,33,96,266,370,362,355,339,334,361,347,332,347,337,323
9,202,89,64,66,36,61,291,346,359,352,331,383,338,332,345,312,345,325
10,230,110,75,36,35,119,343,346,336,331,361,342,360,360,331,338,312,300
